Maturities;Rates
0.0833333333333333;1.19566989891884
0.166666666666667;1.32824768009087
0.25;1.48703637889834
0.333333333333333;1.6465352673906
0.416666666666667;1.79777811948057
0.5;1.93579663935901
0.583333333333333;2.05825179303083
0.666666666666667;2.16454791070181
0.75;2.25537577876687
0.833333333333333;2.33214152888982
0.916666666666667;2.39654630849415
1;2.45024346685944
1.08333333333333;2.49483161587737
1.16666666666667;2.53174918988447
1.25;2.56214313561929
1.33333333333333;2.58694365064921
1.41666666666667;2.60692793312659
1.5;2.62276268162631
1.58333333333333;2.63503241635222
1.66666666666667;2.6442475557729
1.75;2.65084566267175
1.83333333333333;2.65520584944803
1.91666666666667;2.65766148415321
2;2.65850972056344
2.08333333333333;2.65801801811195
2.16666666666667;2.65642055587621
2.25;2.65391406266051
2.33333333333333;2.65066341152845
2.41666666666667;2.64680711215681
2.5;2.64246170473331
2.58333333333333;2.63772530342258
2.66666666666667;2.63268047543232
2.75;2.62739659661277
2.83333333333333;2.62193179136225
2.91666666666667;2.61633453997746
3;2.61064501811197
3.08333333333333;2.60489625655329
3.16666666666667;2.59911552405657
3.25;2.59332552951391
3.33333333333333;2.58754503709839
3.41666666666667;2.58178934732746
3.5;2.57607070940283
3.58333333333334;2.57039867601469
3.66666666666667;2.56478040976345
3.75;2.55922094872525
3.83333333333334;2.55372343737855
3.91666666666667;2.54828932805067
4;2.54291855718352
4.08333333333334;2.53760975908191
4.16666666666667;2.53236109745559
4.25;2.52717105026595
4.33333333333333;2.52203845192007
4.41666666666667;2.51696245964386
4.5;2.5119425235914
4.58333333333333;2.50697836021516
4.66666666666667;2.50206992848929
4.75;2.49721740863585
4.83333333333333;2.49242118305167
4.91666666666667;2.48768181917492
5;2.48300005406499
